Date;Station;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;Depth;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Station_1w;Station_4w;Station_12w;Tmax_1w;Tmax_4w;Tmax_12w;Tmin_1w;Tmin_4w;Tmin_12w;Tavg_1w;Tavg_4w;Tavg_12w;Depart_1w;Depart_4w;Depart_12w;DewPoint_1w;DewPoint_4w;DewPoint_12w;WetBulb_1w;WetBulb_4w;WetBulb_12w;Heat_1w;Heat_4w;Heat_12w;Cool_1w;Cool_4w;Cool_12w;Sunrise_1w;Sunrise_4w;Sunrise_12w;Sunset_1w;Sunset_4w;Sunset_12w;Depth_1w;Depth_4w;Depth_12w;SnowFall_1w;SnowFall_4w;SnowFall_12w;PrecipTotal_1w;PrecipTotal_4w;PrecipTotal_12w;StnPressure_1w;StnPressure_4w;StnPressure_12w;SeaLevel_1w;SeaLevel_4w;SeaLevel_12w;ResultSpeed_1w;ResultSpeed_4w;ResultSpeed_12w;ResultDir_1w;ResultDir_4w;ResultDir_12w;AvgSpeed_1w;AvgSpeed_4w;AvgSpeed_12w
2007-05-01;1.0;83.0;50.0;67.0;14.0;51.0;56.0;0.0;2.0;448.0;1849.0;0.0;0.0;0.0;29.1;29.82;1.7;27.0;9.2;1.5;1.5;1.5;83.5;83.5;83.5;51.0;51.0;51.0;67.5;67.5;67.5;9.75;9.75;9.75;51.0;51.0;51.0;56.5;56.5;56.5;0.0;0.0;0.0;2.5;2.5;2.5;447.75;447.75;447.75;1849.25;1849.25;1849.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.14;29.14;29.14;29.82;29.82;29.82;2.2;2.2;2.2;26.0;26.0;26.0;9.4;9.4;9.4
2007-05-01;2.0;84.0;52.0;68.0;5.5;51.0;57.0;0.0;3.0;447.5;1849.5;0.0;0.0;0.0;29.18;29.82;2.7;25.0;9.6;1.5;1.5;1.5;83.5;83.5;83.5;51.0;51.0;51.0;67.5;67.5;67.5;9.75;9.75;9.75;51.0;51.0;51.0;56.5;56.5;56.5;0.0;0.0;0.0;2.5;2.5;2.5;447.75;447.75;447.75;1849.25;1849.25;1849.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.14;29.14;29.14;29.82;29.82;29.82;2.2;2.2;2.2;26.0;26.0;26.0;9.4;9.4;9.4
2007-05-02;1.0;59.0;42.0;51.0;-3.0;42.0;47.0;14.0;0.0;447.0;1850.0;0.0;0.0;0.0;29.38;30.09;13.0;4.0;13.4;1.5;1.5;1.5;71.5;71.5;71.5;46.75;46.75;46.75;59.5;59.5;59.5;4.0;4.0;4.0;46.5;46.5;46.5;51.75;51.75;51.75;6.75;6.75;6.75;1.25;1.25;1.25;447.25;447.25;447.25;1849.75;1849.75;1849.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.275;29.275;29.275;29.9525;29.9525;29.9525;7.675;7.675;7.675;14.5;14.5;14.5;11.4;11.4;11.4
2007-05-02;2.0;60.0;43.0;52.0;-0.5;42.0;47.0;13.0;0.0;446.5;1850.5;0.0;0.0;0.0;29.44;30.08;13.3;2.0;13.4;1.5;1.5;1.5;71.5;71.5;71.5;46.75;46.75;46.75;59.5;59.5;59.5;4.0;4.0;4.0;46.5;46.5;46.5;51.75;51.75;51.75;6.75;6.75;6.75;1.25;1.25;1.25;447.25;447.25;447.25;1849.75;1849.75;1849.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.275;29.275;29.275;29.9525;29.9525;29.9525;7.675;7.675;7.675;14.5;14.5;14.5;11.4;11.4;11.4
2007-05-03;1.0;66.0;46.0;56.0;2.0;40.0;48.0;9.0;0.0;446.0;1851.0;0.0;0.0;0.0;29.39;30.12;11.7;7.0;11.9;1.5;1.5;1.5;69.8333333333;69.8333333333;69.8333333333;46.8333333333;46.8333333333;46.8333333333;58.6666666667;58.6666666667;58.6666666667;3.5;3.5;3.5;44.3333333333;44.3333333333;44.3333333333;50.8333333333;50.8333333333;50.8333333333;7.16666666667;7.16666666667;7.16666666667;0.833333333333;0.833333333333;0.833333333333;446.666666667;446.666666667;446.666666667;1850.25;1850.25;1850.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.325;29.325;29.325;30.0083333333;30.0083333333;30.0083333333;9.21666666667;9.21666666667;9.21666666667;11.8333333333;11.8333333333;11.8333333333;11.7833333333;11.7833333333;11.7833333333
2007-05-03;2.0;67.0;48.0;58.0;3.0;40.0;50.0;7.0;0.0;445.0;1851.5;0.0;0.0;0.0;29.46;30.12;12.9;6.0;13.2;1.5;1.5;1.5;69.8333333333;69.8333333333;69.8333333333;46.8333333333;46.8333333333;46.8333333333;58.6666666667;58.6666666667;58.6666666667;3.5;3.5;3.5;44.3333333333;44.3333333333;44.3333333333;50.8333333333;50.8333333333;50.8333333333;7.16666666667;7.16666666667;7.16666666667;0.833333333333;0.833333333333;0.833333333333;446.666666667;446.666666667;446.666666667;1850.25;1850.25;1850.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.325;29.325;29.325;30.0083333333;30.0083333333;30.0083333333;9.21666666667;9.21666666667;9.21666666667;11.8333333333;11.8333333333;11.8333333333;11.7833333333;11.7833333333;11.7833333333
2007-05-04;1.0;66.0;49.0;58.0;4.0;41.0;50.0;7.0;0.0;444.0;1852.0;0.0;0.0;0.0;29.31;30.05;10.4;8.0;10.8;1.5;1.5;1.5;70.375;70.375;70.375;47.625;47.625;47.625;58.625;58.625;58.625;3.6875;3.6875;3.6875;43.625;43.625;43.625;50.625;50.625;50.625;7.0;7.0;7.0;0.625;0.625;0.625;445.9375;445.9375;445.9375;1850.75;1850.75;1850.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3275;29.3275;29.3275;30.0175;30.0175;30.0175;9.475;9.475;9.475;10.75;10.75;10.75;11.4875;11.4875;11.4875
2007-05-04;2.0;78.0;51.0;59.0;4.5;42.0;50.0;6.0;0.0;443.5;1852.5;0.0;0.0;0.0;29.36;30.04;10.1;7.0;10.4;1.5;1.5;1.5;70.375;70.375;70.375;47.625;47.625;47.625;58.625;58.625;58.625;3.6875;3.6875;3.6875;43.625;43.625;43.625;50.625;50.625;50.625;7.0;7.0;7.0;0.625;0.625;0.625;445.9375;445.9375;445.9375;1850.75;1850.75;1850.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3275;29.3275;29.3275;30.0175;30.0175;30.0175;9.475;9.475;9.475;10.75;10.75;10.75;11.4875;11.4875;11.4875
2007-05-05;1.0;66.0;53.0;60.0;5.0;38.0;49.0;5.0;0.0;443.0;1853.0;0.0;0.0;0.0;29.4;30.1;11.7;7.0;12.0;1.5;1.5;1.5;69.5;69.5;69.5;48.8;48.8;48.8;58.9;58.9;58.9;3.9;3.9;3.9;42.6;42.6;42.6;50.4;50.4;50.4;6.6;6.6;6.6;0.5;0.5;0.5;445.3;445.3;445.3;1851.3;1851.3;1851.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.348;29.348;29.348;30.033;30.033;30.033;9.87;9.87;9.87;10.0;10.0;10.0;11.54;11.54;11.54
2007-05-05;2.0;66.0;54.0;60.0;4.5;39.0;50.0;5.0;0.0;442.5;1854.0;0.0;0.0;0.0;29.46;30.09;11.2;7.0;11.5;1.5;1.5;1.5;69.5;69.5;69.5;48.8;48.8;48.8;58.9;58.9;58.9;3.9;3.9;3.9;42.6;42.6;42.6;50.4;50.4;50.4;6.6;6.6;6.6;0.5;0.5;0.5;445.3;445.3;445.3;1851.3;1851.3;1851.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.348;29.348;29.348;30.033;30.033;30.033;9.87;9.87;9.87;10.0;10.0;10.0;11.54;11.54;11.54
2007-05-06;1.0;68.0;49.0;59.0;4.0;30.0;46.0;6.0;0.0;442.0;1855.0;0.0;0.0;0.0;29.57;30.29;14.4;11.0;15.0;1.5;1.5;1.5;69.25;69.25;69.25;49.0833333333;49.0833333333;49.0833333333;59.0;59.0;59.0;4.16666666667;4.16666666667;4.16666666667;40.5;40.5;40.5;49.6666666667;49.6666666667;49.6666666667;6.41666666667;6.41666666667;6.41666666667;0.416666666667;0.416666666667;0.416666666667;444.708333333;444.708333333;444.708333333;1851.95833333;1851.95833333;1851.95833333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3891666667;29.3891666667;29.3891666667;30.075;30.075;30.075;10.575;10.575;10.575;10.0833333333;10.0833333333;10.0833333333;12.075;12.075;12.075
2007-05-06;2.0;68.0;52.0;60.0;7.0;30.0;46.0;5.0;0.0;441.5;1855.5;0.0;0.0;0.0;29.62;30.28;13.8;10.0;14.5;1.5;1.5;1.5;69.25;69.25;69.25;49.0833333333;49.0833333333;49.0833333333;59.0;59.0;59.0;4.16666666667;4.16666666667;4.16666666667;40.5;40.5;40.5;49.6666666667;49.6666666667;49.6666666667;6.41666666667;6.41666666667;6.41666666667;0.416666666667;0.416666666667;0.416666666667;444.708333333;444.708333333;444.708333333;1851.95833333;1851.95833333;1851.95833333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3891666667;29.3891666667;29.3891666667;30.075;30.075;30.075;10.575;10.575;10.575;10.0833333333;10.0833333333;10.0833333333;12.075;12.075;12.075
2007-05-07;1.0;83.0;47.0;65.0;10.0;41.0;54.0;0.0;0.0;441.0;1856.0;0.0;0.0;0.0;29.38;30.12;8.6;18.0;10.5;1.5;1.5;1.5;71.2857142857;71.2857142857;71.2857142857;49.0;49.0;49.0;60.0;60.0;60.0;5.07142857143;5.07142857143;5.07142857143;40.4285714286;40.4285714286;40.4285714286;50.2142857143;50.2142857143;50.2142857143;5.5;5.5;5.5;0.5;0.5;0.5;444.107142857;444.107142857;444.107142857;1852.57142857;1852.57142857;1852.57142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3921428571;29.3921428571;29.3921428571;30.0814285714;30.0814285714;30.0814285714;10.2857142857;10.2857142857;10.2857142857;11.1428571429;11.1428571429;11.1428571429;11.8071428571;11.8071428571;11.8071428571
2007-05-07;2.0;84.0;50.0;67.0;11.0;39.0;53.0;0.0;2.0;440.0;1856.5;0.0;0.0;0.0;29.44;30.12;8.5;17.0;9.9;1.5;1.5;1.5;71.2857142857;71.2857142857;71.2857142857;49.0;49.0;49.0;60.0;60.0;60.0;5.07142857143;5.07142857143;5.07142857143;40.4285714286;40.4285714286;40.4285714286;50.2142857143;50.2142857143;50.2142857143;5.5;5.5;5.5;0.5;0.5;0.5;444.107142857;444.107142857;444.107142857;1852.57142857;1852.57142857;1852.57142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.3921428571;29.3921428571;29.3921428571;30.0814285714;30.0814285714;30.0814285714;10.2857142857;10.2857142857;10.2857142857;11.1428571429;11.1428571429;11.1428571429;11.8071428571;11.8071428571;11.8071428571
2007-05-08;1.0;82.0;54.0;68.0;12.0;58.0;62.0;0.0;3.0;439.0;1857.0;0.0;0.0;0.0;29.29;30.03;2.7;11.0;5.8;1.5;1.5;1.5;70.9285714286;72.5;72.5;49.8571428571;50.0;50.0;60.2142857143;61.125;61.125;5.42857142857;5.96875;5.96875;41.3571428571;42.5625;42.5625;51.0714285714;51.75;51.75;5.5;4.8125;4.8125;0.714285714286;0.9375;0.9375;442.821428571;443.4375;443.4375;1853.71428571;1853.15625;1853.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.00464285714286;0.0040625;0.0040625;29.4185714286;29.38375;29.38375;30.1107142857;30.074375;30.074375;10.3428571429;9.325;9.325;8.78571428571;10.9375;10.9375;11.2642857143;11.03125;11.03125
2007-05-08;2.0;80.0;60.0;70.0;12.5;57.0;63.0;0.0;5.0;438.5;1857.5;0.0;0.0;0.065;29.36;30.02;2.5;8.0;5.4;1.5;1.5;1.5;70.9285714286;72.5;72.5;49.8571428571;50.0;50.0;60.2142857143;61.125;61.125;5.42857142857;5.96875;5.96875;41.3571428571;42.5625;42.5625;51.0714285714;51.75;51.75;5.5;4.8125;4.8125;0.714285714286;0.9375;0.9375;442.821428571;443.4375;443.4375;1853.71428571;1853.15625;1853.15625;0.0;0.0;0.0;0.0;0.0;0.0;0.00464285714286;0.0040625;0.0040625;29.4185714286;29.38375;29.38375;30.1107142857;30.074375;30.074375;10.3428571429;9.325;9.325;8.78571428571;10.9375;10.9375;11.2642857143;11.03125;11.03125
2007-05-09;1.0;77.0;61.0;69.0;13.0;59.0;63.0;0.0;4.0;438.0;1858.0;0.0;0.0;0.13;29.21;29.94;3.9;9.0;6.2;1.5;1.5;1.5;73.3571428571;72.9444444444;72.9444444444;52.6428571429;51.3333333333;51.3333333333;62.7857142857;62.0555555556;62.0555555556;7.57142857143;6.77777777778;6.77777777778;43.8571428571;44.4444444444;44.4444444444;53.3571428571;53.0;53.0;3.57142857143;4.27777777778;4.27777777778;1.35714285714;1.33333333333;1.33333333333;441.535714286;442.805555556;442.805555556;1854.85714286;1853.72222222;1853.72222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.0119444444444;0.0119444444444;29.395;29.3683333333;29.3683333333;30.0892857143;30.0588888889;30.0588888889;9.02142857143;8.72222222222;8.72222222222;9.5;10.6111111111;10.6111111111;10.2142857143;10.4777777778;10.4777777778
2007-05-09;2.0;76.0;63.0;70.0;13.5;60.0;63.0;0.0;5.0;437.5;1858.5;0.0;0.0;0.02;29.28;29.93;3.9;7.0;5.9;1.5;1.5;1.5;73.3571428571;72.9444444444;72.9444444444;52.6428571429;51.3333333333;51.3333333333;62.7857142857;62.0555555556;62.0555555556;7.57142857143;6.77777777778;6.77777777778;43.8571428571;44.4444444444;44.4444444444;53.3571428571;53.0;53.0;3.57142857143;4.27777777778;4.27777777778;1.35714285714;1.33333333333;1.33333333333;441.535714286;442.805555556;442.805555556;1854.85714286;1853.72222222;1853.72222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.0119444444444;0.0119444444444;29.395;29.3683333333;29.3683333333;30.0892857143;30.0588888889;30.0588888889;9.02142857143;8.72222222222;8.72222222222;9.5;10.6111111111;10.6111111111;10.2142857143;10.4777777778;10.4777777778
2007-05-10;1.0;84.0;56.0;70.0;14.0;52.0;60.0;0.0;5.0;437.0;1859.0;0.0;0.0;0.0;29.2;29.92;0.7;17.0;4.1;1.5;1.5;1.5;75.7857142857;74.0;74.0;54.1428571429;51.95;51.95;64.7142857143;62.9;62.9;8.85714285714;7.25;7.25;45.5714285714;45.2;45.2;55.0;53.75;53.75;2.42857142857;3.85;3.85;2.14285714286;1.75;1.75;440.285714286;442.2;442.2;1856.0;1854.275;1854.275;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.01075;0.01075;29.3671428571;29.3545;29.3545;30.06;30.0445;30.0445;7.45714285714;7.985;7.985;10.4285714286;10.85;10.85;8.99285714286;9.83;9.83
2007-05-10;2.0;83.0;59.0;71.0;9.0;52.0;61.0;0.0;6.0;436.5;1859.5;0.0;0.0;0.0;29.26;29.91;2.0;9.0;3.9;1.5;1.5;1.5;75.7857142857;74.0;74.0;54.1428571429;51.95;51.95;64.7142857143;62.9;62.9;8.85714285714;7.25;7.25;45.5714285714;45.2;45.2;55.0;53.75;53.75;2.42857142857;3.85;3.85;2.14285714286;1.75;1.75;440.285714286;442.2;442.2;1856.0;1854.275;1854.275;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.01075;0.01075;29.3671428571;29.3545;29.3545;30.06;30.0445;30.0445;7.45714285714;7.985;7.985;10.4285714286;10.85;10.85;8.99285714286;9.83;9.83
2007-05-11;1.0;70.0;51.0;61.0;4.0;42.0;51.0;4.0;0.0;436.0;1860.0;0.0;0.0;0.0;29.33;30.04;11.3;3.0;12.9;1.5;1.5;1.5;75.7142857143;73.7727272727;73.7727272727;54.1428571429;51.7727272727;51.7727272727;65.0714285714;62.7272727273;62.7272727273;8.60714285714;6.81818181818;6.81818181818;45.7857142857;45.0;45.0;55.1428571429;53.5;53.5;2.07142857143;3.86363636364;3.86363636364;2.14285714286;1.59090909091;1.59090909091;439.142857143;441.613636364;441.613636364;1858.57142857;1855.72727273;1855.72727273;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.00977272727273;0.00977272727273;29.3707142857;29.355;29.355;30.0585714286;30.0436363636;30.0436363636;7.63571428571;8.30454545455;8.30454545455;12.1428571429;11.6363636364;11.6363636364;9.31428571429;10.1045454545;10.1045454545
2007-05-11;2.0;73.0;49.0;61.0;1.0;44.0;51.0;4.0;0.0;435.5;1880.5;0.0;0.0;0.0;29.39;30.03;11.7;36.0;12.8;1.5;1.5;1.5;75.7142857143;73.7727272727;73.7727272727;54.1428571429;51.7727272727;51.7727272727;65.0714285714;62.7272727273;62.7272727273;8.60714285714;6.81818181818;6.81818181818;45.7857142857;45.0;45.0;55.1428571429;53.5;53.5;2.07142857143;3.86363636364;3.86363636364;2.14285714286;1.59090909091;1.59090909091;439.142857143;441.613636364;441.613636364;1858.57142857;1855.72727273;1855.72727273;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.00977272727273;0.00977272727273;29.3707142857;29.355;29.355;30.0585714286;30.0436363636;30.0436363636;7.63571428571;8.30454545455;8.30454545455;12.1428571429;11.6363636364;11.6363636364;9.31428571429;10.1045454545;10.1045454545
2007-05-12;1.0;64.0;46.0;55.0;-2.0;36.0;46.0;10.0;0.0;435.0;1901.0;0.0;0.0;0.0;29.49;30.2;12.4;3.0;12.9;1.5;1.5;1.5;75.5;73.0;73.0;53.1428571429;51.3333333333;51.3333333333;64.4285714286;62.125;62.125;7.64285714286;6.08333333333;6.08333333333;45.5;44.2916666667;44.2916666667;54.6428571429;52.875;52.875;2.71428571429;4.33333333333;4.33333333333;2.14285714286;1.45833333333;1.45833333333;438.0;441.041666667;441.041666667;1865.39285714;1859.52083333;1859.52083333;0.0;0.0;0.0;0.0;0.0;0.0;0.0153571428571;0.00895833333333;0.00895833333333;29.3828571429;29.3683333333;29.3683333333;30.0728571429;30.05625;30.05625;7.79285714286;8.65833333333;8.65833333333;11.4285714286;10.8333333333;10.8333333333;9.48571428571;10.3416666667;10.3416666667
